"Año-Mes","Clasificador","Agregación","Variación %"
"2023-12","Capítulos","Nivel general","225,2"
"2023-11","Capítulos","Nivel general","159,6"
"2023-10","Capítulos","Nivel general","148,4"
"2023-09","Capítulos","Nivel general","148,8"
"2023-08","Capítulos","Nivel general","133,1"
"2023-07","Capítulos","Nivel general","118,3"
"2023-06","Capítulos","Nivel general","115,3"
"2023-05","Capítulos","Nivel general","116,9"
"2023-04","Capítulos","Nivel general","114,6"
"2023-03","Capítulos","Nivel general","103,1"
"2023-02","Capítulos","Nivel general","103,6"
"2023-01","Capítulos","Nivel general","99,4"
"2022-12","Capítulos","Nivel general","92,9"
"2022-11","Capítulos","Nivel general","87,8"
"2022-10","Capítulos","Nivel general","79,7"
"2022-09","Capítulos","Nivel general","74,5"
"2022-08","Capítulos","Nivel general","67,6"
"2022-07","Capítulos","Nivel general","59,0"
"2022-06","Capítulos","Nivel general","56,8"
"2022-05","Capítulos","Nivel general","50,1"
"2022-04","Capítulos","Nivel general","44,6"
"2022-03","Capítulos","Nivel general","51,1"
"2022-02","Capítulos","Nivel general","47,4"
"2022-01","Capítulos","Nivel general","49,4"